55,54,1,0,28,28,0,55,29,55
27,0,2,0,29,28,54,1,29,55
55,56,0,2,0,0,56,55,29,54
27,56,29,54,0,0,2,1,0,0
2,29,54,2,54,0,27,0,55,29
55,55,54,56,28,54,55,2,0,55
0,27,27,1,2,56,0,1,0,55
0,56,56,1,0,55,0,2,55,56
1,27,56,54,56,56,29,28,56,28
0,1,29,2,29,54,28,0,54,28
55,1,54,0,56,55,55,28,56,27
55,1,2,29,55,27,28,56,27,55
1,2,54,56,0,29,28,1,1,1
1,0,56,56,55,54,54,56,54,28
28,29,27,55,55,1,1,27,2,27
54,29,56,55,55,1,54,1,28,27
56,28,2,28,28,29,0,2,0,1
55,56,28,27,54,28,29,1,27,56
1,0,56,2,54,54,56,56,56,0
56,1,55,54,56,0,0,0,54,28
0,1,1,0,28,2,56,1,28,54
1,29,2,54,1,1,1,1,56,54
55,2,0,1,29,29,56,55,27,0
56,28,29,1,56,54,54,29,29,0
1,54,0,27,54,56,56,27,28,27
56,0,2,29,2,1,55,2,27,27
54,28,108,109,109,109,110,1,2,55
27,1,135,136,136,136,137,27,28,56
27,54,135,136,136,136,137,55,55,29
28,28,162,163,163,163,164,28,54,1
56,54,27,55,0,27,28,2,29,54
28,28,28,55,55,56,28,56,55,27
2,55,28,1,55,2,56,1,55,2
28,27,55,56,28,2,56,55,1,27
55,29,56,55,27,54,1,55,56,56
2,55,1,27,29,54,56,1,28,2
1,55,27,27,28,28,2,27,0,1
0,54,29,56,27,29,28,29,54,54
54,2,55,56,2,29,54,27,0,1
1,55,27,2,0,29,29,56,0,29
